agent,aggregated,anneal_steps,batch_normalization,batch_size,date,decay_freq,discount,double,dueling,env,episodes,err_clip,exploration,exploration_anneal_steps,exploration_min,exploration_q_clip,exploration_start,exploration_temp,exploration_temp_min,filename,final_reward,hidden_activation,hidden_dropout,history_len,idealization,init_mean,init_method,init_std,input_dropout,layer_sizes,loss,lr,lr_decay,lr_init,lr_min,max_reward,memory_size,min_mem_size,multi_steps,n_epochs,n_eps,normalize,optimizer,out_activation,policy,prioritize_replay,priority_exp,priority_shift,q_clip,seed,solve_episode,streams_size,tail_avg,tail_std,target_update_freq,time,weights_init
dqnp,-135.61165129318545,,False,97,2018-05-12 14:23:00,97.0,0.9818313802505148,False,False,lander,,,,291,0.4222886085419277,,0.7964223091125092,-1.0,,(0) DQNP on LunarLander @ 12.05 14.23 [8746419274325-14613043835416750520],6.929063760106762,sigmoid,0,2,0.89177300078208,,,,0.0,"[384, 192]",logcosh,,0.6313047017599905,0.007035737028722149,1e-05,77.41492372643151,127144,1000,,1,244,False,adamax,softmax,eps-greedy,,,,"[-3338, 3338]",0,,-1,-177.72113036726776,111.01655454393779,39,1515.8266558647156,glorot_uniform
dqnp,-292.8560272451532,,False,24,2018-05-13 13:26:00,98.0,0.6983847025524361,False,False,lander,,,,130,0.1636365483407812,,0.7206396269408546,1.0,,(8) DQNP on LunarLander @ 13.05 13.26 [8767105582768-65177200762287532139],221.06814640197842,relu,0,2,0.3455542067704468,,,,0.0,[192],mse,,0.782083705216977,0.0029660083334612946,1e-05,221.06814640197842,105441,1000,,1,861,False,adamax,softmax,eps-greedy,,,,"[-4803, 4803]",8,,-1,-428.3673178203485,268.4757548038649,17,1502.012056350708,lecun_normal
dqnp,-186.13736144669718,,False,97,2018-05-12 20:24:00,97.0,0.9818313802505148,False,False,lander,,,,291,0.4222886085419277,,0.7964223091125092,-1.0,,(0) DQNP on LunarLander @ 12.05 20.24 [-9223363275681983365-24321310037425914156],-170.38648592660832,sigmoid,0,2,0.89177300078208,,,,0.0,"[384, 192]",logcosh,,0.6313047017599905,0.007035737028722149,1e-05,-22.52643590285761,127144,1000,,1,278,False,adamax,softmax,eps-greedy,,,,"[-3338, 3338]",0,,-1,-196.845963124597,106.92272623972401,39,1507.5389668941498,glorot_uniform
dqnp,-278.28578866106943,,False,97,2018-05-12 20:24:00,97.0,0.9818313802505148,False,False,lander,,,,291,0.4222886085419277,,0.7964223091125092,-1.0,,(0) DQNP on LunarLander @ 12.05 20.24 [-9223363275603076320-41037790821714750613],-305.216402015118,sigmoid,0,2,0.89177300078208,,,,0.0,"[384, 192]",logcosh,,0.6313047017599905,0.007035737028722149,1e-05,50.190069312122795,127144,1000,,1,282,False,adamax,softmax,eps-greedy,,,,"[-3338, 3338]",0,,-1,-298.4075597897783,137.16665447680325,39,1500.9026019573212,glorot_uniform
qlp,184.72984781530783,300.0,False,32,2018-05-08 13:33:00,1000.0,0.7358808708750283,False,False,pole,,,,150,0.05853026276652005,,1.0,-1.0,,QLP on CartPole @ 08.05 13.33 [274088859],200.0,sigmoid,0,2,0.2165591966542021,0.0,,0.1,0.0,"(384, 192)",mse,,0.3704482463634273,0.3820547551267129,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,183.64,30.00152184692159,0,8.076582908630371,lecun_uniform
qlp,156.1787231379801,300.0,False,32,2018-05-08 13:42:00,1000.0,0.5352869358137492,False,False,pole,,,,150,0.2,,0.2,-1.0,,QLP on CartPole @ 08.05 13.42 [294729792],200.0,sigmoid,0,2,0.0,0.0,,0.1,0.0,"(384, 192)",mse,,0.05,0.20184035850308374,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,147.54,44.762768620198806,0,6.4388837814331055,lecun_uniform
dqn,-69.59736640365344,,False,32,2018-05-06 10:17:00,200.0,0.99,False,False,lander,,,,150,0.01,,1.0,-1.0,,dqn on lander @ 06.05 10.17-2,-216.6566205375157,sigmoid,0,2,1.0,,,,0.0,"[384, 192]",mse,0.005,0.1,0.005,1e-05,231.17514531285886,5000,1000,,1,400,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",2,,-1,-55.83594080329024,183.39432251844286,0,1785.657618522644,lecun_uniform
dqnp,167.15482101874034,,False,32,2018-05-11 18:09:00,200.0,0.99,False,False,lander,,,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 11.05 18.09 [8767156812387],223.9788845058804,sigmoid,0,2,1.0,,lecun_uniform,,0.0,"[128, 256]",mse,,0.1,0.005,1e-05,268.05133177921425,50000,1000,,1,400,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",40,,-1,158.9818824892941,124.83556702033712,0,1797.8350594043732,lecun_uniform
qlp,120.94290559527296,1300.0,False,32,2018-05-08 13:36:00,1000.0,0.6570217998433211,False,False,pole,,,,150,0.2,,0.48209179862210344,-1.0,,QLP on CartPole @ 08.05 13.36 [-9223372036560624808],64.0,sigmoid,0,2,0.746437498239073,0.0,,0.1,0.0,"(384, 192)",mse,,0.828942788623239,0.40782355683185223,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,128.79,52.49594404727037,0,5.697997093200684,lecun_uniform
qlp,171.26574512332166,300.0,False,32,2018-05-08 13:42:00,1000.0,0.5857858322154376,False,False,pole,,,,150,0.2,,1.0,-1.0,,QLP on CartPole @ 08.05 13.42 [294732222],200.0,sigmoid,0,2,0.12826643844486343,0.0,,0.1,0.0,"(384, 192)",mse,,0.05,0.46451974482365,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,167.69,45.01754876678312,0,7.187062978744507,lecun_uniform
dqnp,-183.66355689730753,,False,776,2018-05-13 00:06:00,256.0,0.6158915234207133,False,False,lander,,,,214,0.1290411353654872,,0.7857158187631854,-1.0,,(7) DQNP on LunarLander @ 13.05 00.06 [-9223363291972763034-68672014164285927456],-141.21831652097694,hard_sigmoid,0,2,0.27137260208292896,,,,0.0,"[192, 192, 192]",logcosh,,0.4809907177265695,0.015171452357400694,1e-05,-82.17702713878711,41032,1000,,2,47,False,adam,linear,eps-greedy,,,,"[-9154, 9154]",7,,-1,-194.87071505052165,81.10070417391037,59,1504.043846130371,he_uniform
dqnp,119.5762943621256,,False,32,2018-05-09 16:13:00,200.0,0.99,False,False,lander,,,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 09.05 16.13 [8777074145800],157.72100705448474,sigmoid,0,2,1.0,,,,0.0,"[384, 192]",mse,,0.1,0.002,1e-05,245.60918612041309,50000,1000,1.0,1,400,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",0,,-1,113.67807125748199,139.01328751199907,0,3547.293567419052,lecun_uniform
dqnp,-172.83712178543914,,False,735,2018-05-13 13:24:00,220.0,0.9898135338025309,False,False,lander,,,,150,0.29271633848742873,,0.9871379646029733,-1.0,,(0) DQNP on LunarLander @ 13.05 13.24 [8755883416107-71946666405616218522],-133.5494934195565,sigmoid,0,2,0.9590729770413462,,,,0.0,"[384, 384, 384]",mse,,0.6838736645329355,0.008857949537612224,1e-05,-8.506766645161662,5028,1000,,1,58,False,adam,linear,eps-greedy,,,,"[-3029, 3029]",0,,-1,-189.63690831098273,97.26339874752487,0,1515.940649986267,lecun_uniform
dqn,-610.8118569044607,,False,32,2018-04-27 10:35:00,200.0,0.99,False,False,lander,400.0,,,150,0.01,,1.0,-1.0,,dqn on lander @ 27.04 10.35-2,-637.3710367505795,sigmoid,0,2,1.0,,,,0.0,"[384, 192]",mse,0.005,0.1,0.005,1e-05,-38.52906249724086,50000,1000,,1,400,False,adam,softmax,eps-greedy,,,,"[-10000, 10000]",2,,-1,-648.4162949860166,250.4107390263714,0,353.8278069496155,lecun_uniform
dqnp,-151.33779765570648,,False,32,2018-05-10 20:58:00,200.0,0.99,True,False,lander,,,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 10.05 20.58 [8764439788401],-240.12663393013912,sigmoid,0,2,1.0,,,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,140.48423260539732,5000,1000,1.0,1,400,False,adam,linear,eps-greedy,True,0.6,0.01,"[-10000, 10000]",13,,-1,-156.57061037296995,119.39268046997891,100,1149.113332271576,lecun_uniform
dqnp,-252.92257813924928,,False,999,2018-05-13 13:24:00,14.0,0.9899276742352319,False,False,lander,,,,150,0.4127072928968198,,0.9523304829562665,-1.0,,(0) DQNP on LunarLander @ 13.05 13.24 [-9223363280971363808-64918054729408598129],-184.80476105004868,sigmoid,0,2,0.7506201154120604,,,,0.0,"[256, 256, 256]",mse,,0.8202598314311825,0.09755060784464105,1e-05,-62.99298221387382,43849,1000,,2,48,False,adam,linear,eps-greedy,,,,"[-4988, 4988]",0,,-1,-276.65478505376745,114.11476970029004,0,1528.1250019073486,lecun_uniform
