episode,reward,run_number
0,-180.31100807521818,0
1,-358.0042591706826,0
2,-284.2231344221004,0
3,-133.4370567546342,0
4,-159.61940951433178,0
0,-232.47674550861544,1
1,-291.19203938528585,1
2,-217.7503667678435,1
3,-348.9474615157497,1
4,-170.05959589171968,1
