exploration_start,exploration_min,exploration_anneal_steps,exploration_temp,lr_init,lr_decay,decay_freq,idealization,discount,history_len,target_update_freq,batch_size,n_epochs,normalize,input_dropout,batch_normalization,streams_size,loss,hidden_activation,out_activation,weights_init,optimizer,layer_sizes,memory_size,q_clip
0.9911002633596036,0.20930917436535101,260,1.0,0.022814689450421533,0.4027057022896632,292,0.10871123910652838,0.6661220483276804,2,0,618,1,False,0.0,False,-1,mse,sigmoid,linear,glorot_uniform,adam,"[256, 512]",185852,"[-5369, 5369]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[192, 384]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.5414734404110993,0.450136102689951,252,1.0,0.08881730843360833,0.8883192535395763,154,0.8370990091732321,0.5155079240192126,2,0,270,1,True,0.0,False,-1,mae,sigmoid,linear,random_uniform,adam,[128],187595,"[-1848, 1848]"
0.6136695399132326,0.16016714066092824,251,0.5,0.09036058293737213,0.5346462833693904,82,0.08674342983999196,0.7096861052082442,2,68,442,5,False,0.0,False,-1,logcosh,sigmoid,softmax,he_uniform,rmsprop,[384],46732,"[-9354, 9354]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[64, 64]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.002,0.35,100,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,125,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,25,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.5,0.4467561957611352,291,1.0,0.1,0.9090166839489199,172,0.9424796232997344,0.5,2,0,219,1,True,0.0,False,-1,mae,sigmoid,linear,random_uniform,adam,[128],198004,"[-931, 931]"
