reward,steps,episode
-96.5770630413606,1000,50
-114.47727970296026,1000,50
-114.59864517897442,1000,50
-125.98562744558708,1000,50
-121.86022805711855,1000,50
-133.42689682677417,1000,50
-126.56402794762502,1000,50
-89.94514448648779,1000,50
-108.65754341378562,1000,50
-119.18507242585626,1000,50
214.28828056994757,448,100
103.86661186640072,743,100
105.29609105791177,633,100
16.20580484395823,1000,100
177.88944747665656,445,100
191.43379610859512,376,100
-140.14683080504545,570,100
145.59595850226987,711,100
33.74791505230148,1000,100
129.21828057498095,563,100
225.42715197900185,301,150
160.11375886003648,448,150
194.77039423272365,304,150
121.50606476369609,475,150
189.9820684705677,330,150
203.46731187307105,297,150
201.6566594545717,368,150
141.38423634556227,393,150
79.21448768215184,616,150
198.13929395293215,447,150
156.59069849862084,348,200
210.57966497058374,328,200
-59.602790377140714,222,200
212.22080870076115,309,200
-28.283869251085832,177,200
175.5619131713392,338,200
214.97709878744968,364,200
199.50264889525025,325,200
199.86209102536242,268,200
206.4827458515489,279,200
187.74458684668934,922,250
217.87530582913303,335,250
198.6834493401135,324,250
180.954716202991,251,250
187.41684592354105,346,250
201.61193301652816,419,250
243.78191704920906,242,250
193.46552141611386,265,250
231.26159329068506,255,250
158.31991369967895,351,250
242.7683365363179,310,300
219.63630183574475,474,300
223.70879313267906,233,300
224.67080559270838,345,300
194.0514714631558,247,300
170.74259039682244,347,300
-146.9783487672785,256,300
197.91347340021468,275,300
197.99942463364854,309,300
150.26310248278259,377,300
79.46741119092933,1000,350
175.66459741646392,243,350
186.88862581030747,256,350
207.91498838680272,273,350
223.7262771916516,356,350
259.8628353777441,218,350
88.65851317189508,1000,350
245.34196916128175,269,350
83.41373107489937,570,350
56.89230389024633,1000,350
252.7172975788227,292,400
195.2467216913248,249,400
175.99205595375224,249,400
216.32959764318514,219,400
226.28955456363752,288,400
232.15640308941556,247,400
222.16172967689772,224,400
190.10709621912312,310,400
228.58126714495486,320,400
181.9722302590112,233,400
