episode,reward,steps
78,-78.8609619056636,126
79,-49.378304651382685,155
80,-148.7513564769761,146
81,-53.14491577240942,154
82,-83.07867738969401,157
83,-84.93273983907727,147
84,-75.24888419391114,124
85,-80.89848714628465,103
86,-202.73929419651756,927
87,-48.23178129214756,117
88,-90.5173297316374,125
89,-203.8188237324763,1000
90,-259.4089593324193,292
91,-32.40059035683747,182
92,-54.999819788015486,114
93,-84.11042238362606,164
94,-68.08012669591673,169
95,-171.9939161794597,169
96,16.358641716891913,1000
97,36.18432303615447,1000
98,-166.6947760974423,119
99,-53.608835111087856,135
100,42.63053653542599,1000
101,-194.28069915554852,231
102,-39.42729615645962,157
103,-122.97411523132995,1000
104,-16.62884380090759,177
105,-229.82428175891394,372
106,71.32724044355326,1000
107,-35.1886619171479,179
108,-40.28097674643843,156
109,-94.93389514703864,637
110,-215.1890569679331,438
111,89.94166861896935,1000
112,49.147874119015675,1000
113,-259.086075929796,770
114,34.772382346333565,1000
115,25.422465737264687,1000
116,79.85714806556719,1000
117,4.093438968244576,1000
118,12.207710742774857,1000
119,-165.22832829504063,464
120,-86.30664223338248,641
121,-143.1107665775566,166
122,-69.30074525264996,399
123,-70.88001490780297,250
124,-202.27118351843336,234
125,36.07691590042434,1000
126,-46.04255969779638,1000
127,29.345339939197206,1000
128,43.80719972935757,1000
129,13.491634353877467,1000
130,112.96854791378617,1000
131,25.840266485098923,881
132,-49.074683400347695,1000
133,14.953157488026605,1000
134,17.014931618149326,1000
135,30.87522102482111,1000
136,13.22164997958426,1000
137,-179.75065077946942,224
138,63.285303224073346,1000
139,199.93805630487032,381
140,216.54143962543935,384
141,161.9459170010232,776
142,-130.16919038662118,397
143,217.99359835884349,722
144,117.44016530097524,1000
145,-15.007267028153805,141
146,25.416642193777108,191
147,-73.34568414556932,475
148,192.2372771226551,331
149,56.75874435484974,777
150,-71.06255955285323,156
151,52.685608023415,1000
152,-30.150363776512705,143
153,219.76751879438763,323
154,135.90229399821735,550
155,144.59335898404092,285
156,121.09562391077313,636
157,134.7926107845069,578
158,3.498771269558233,164
159,245.59394386337237,389
160,-129.97899224159346,1000
161,177.65735143141663,518
162,201.1595578433313,519
163,0.5962665941947023,122
164,211.57457283681424,468
165,132.1427954795399,376
166,-28.92196733506674,171
167,-25.24380056787267,184
168,192.71164111238852,350
169,232.13063105242904,480
170,175.94195815394846,424
171,134.15407469771804,705
172,-234.11618090735703,240
173,196.26990148659198,419
174,-305.8414309938245,649
175,189.17144238648308,419
176,-164.79034652821815,480
177,211.32872943885855,251
178,171.50733299441748,357
179,146.310962784823,571
180,89.21088584328469,590
181,-45.579751762167994,514
182,-0.34368626180381057,916
183,164.73095403183953,393
184,188.83942502028407,529
185,254.67015329354078,372
186,186.97901349011244,173
187,174.24358609259005,504
188,182.23697851376335,655
189,242.26483447102123,277
190,-39.46034947486436,1000
191,186.80402757000542,484
192,185.0016695265093,409
193,127.44516762081099,744
194,54.81074976529982,923
195,179.89039640183114,453
196,157.88271974589583,637
197,143.3553342752613,583
198,195.5260137015753,829
199,126.30659959757428,948
200,-67.43374242631936,1000
201,216.4526215630967,462
202,248.01292781242603,300
203,188.31963648611756,444
204,248.4914804209282,250
205,214.17483405246895,355
206,173.03396719737293,451
207,217.57250657611996,381
208,184.82772858681636,511
209,174.8403592915011,501
210,183.02852450982576,432
211,200.49358660352505,419
212,201.66814049314485,306
213,223.7123367289127,372
214,205.61163392302802,313
215,208.37231809541262,325
216,217.60826185952146,488
217,218.38855850208432,319
218,212.50878550681807,307
219,203.53939130554647,416
220,212.44834049012405,309
221,189.6361980979362,355
222,211.20224922445522,483
223,229.2866994901036,285
224,168.15888361666717,336
225,-56.02405033692517,180
226,-55.887639116980125,157
227,205.70739747333818,510
228,223.35838927674942,291
229,195.09749631390463,300
230,207.00373978503717,330
231,221.49111958190036,254
232,187.05814394271306,614
233,206.65775158478203,317
234,162.71627375654816,480
235,200.3285705125993,344
236,192.25488219045232,599
237,169.08877249183746,480
238,176.97523666031861,361
239,212.08503893892282,277
240,195.37520280438892,508
241,-66.70138936478506,257
242,164.61746233868416,588
243,168.4289933873406,445
244,210.91690303010543,307
245,218.35819251005876,238
246,181.27804323307345,402
247,189.82139843660906,557
248,215.03222309503946,227
249,200.5118864217548,335
250,193.41371113579993,447
251,227.64869813789704,358
252,199.3886116432352,311
253,65.23533043832307,897
254,246.8120006254517,311
